internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
171360,Albinaria arthuriana,"Clausilia arthuriana O. Boettger, 1878",Clausilia,arthuriana,"O. Boettger, 1878",,
171431,Albinaria janisadana,"Albinaria dragonarana Loosjes, 1955",Albinaria,dragonarana,"Loosjes, 1955",,
171435,Albinaria adriani,"Isabellaria adriani E. Gittenberger, 1987",Isabellaria,adriani,"E. Gittenberger, 1987",,
171453,Schistophallus spratti,"Oxychilus minoicus Riedel, 1968",Oxychilus,minoicus,"Riedel, 1968",,
171462,Schistophallus seidli,"Hyalina major E. von Martens, 1889",Hyalina,major,"E. von Martens, 1889",,
171463,Albinaria virginea,"Clausilia virginea L. Pfeiffer, 1846",Clausilia,virginea,"L. Pfeiffer, 1846",,
171466,Albinaria hippolyti,"Clausilia hippolyti O. Boettger, 1878",Clausilia,hippolyti,"O. Boettger, 1878",,
171480,Albinaria unicolor,"Clausilia unicolor O. Boettger, 1878",Clausilia,unicolor,"O. Boettger, 1878",,
171508,Albinaria eburnea,"Clausilia eburnea L. Pfeiffer, 1854",Clausilia,eburnea,"L. Pfeiffer, 1854",,
171511,Amphorella cimensis,"Achatina gracilis var. B subula (Lowe,1855)",Achatina,gracilis,,variety,"(Lowe,1855)"
171538,Albinaria retusa,"Bulimus retusa Olivier, 1801",Bulimus,retusa,"Olivier, 1801",,
171543,Albinaria sphakiota,"Clausilia sphakiota von Maltzan, 1887",Clausilia,sphakiota,"von Maltzan, 1887",,
171654,Albinaria xanthostoma,"Clausilia xanthostoma Böttger, 1883",Clausilia,xanthostoma,"Böttger, 1883",,
171666,Lindbergia orbicularis,"Lindbergia senex Riedel, 1977",Lindbergia,senex,"Riedel, 1977",,
171680,Albinaria fuchskaeufeli,"Diadoma werneri Fuchs and Kaüfel, 1936",Diadoma,werneri,"Fuchs and Kaüfel, 1936",,
171690,Schistophallus minoicus,"Oxychilus minoicus Riedel, 1968",Oxychilus,minoicus,"Riedel, 1968",,
