assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
47995800,47981998,Sphecodes creticus,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,HALICTIDAE,Sphecodes,creticus,,,,"Warncke, 1992",Data Deficient,,3.1,Unknown,Global & Europe
48031475,47943578,Agoliinus pittinoi,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Agoliinus,pittinoi,,,,"(Carpaneto, 1986)",Data Deficient,,3.1,Unknown,"Global, Europe & Mediterranean"
48031890,47944402,Nobius rhodiensis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Nobius,rhodiensis,,,,"(Baraud, 1976)",Data Deficient,,3.1,Unknown,"Global, Europe & Mediterranean"
48032052,47945259,Paracoptochirus kozanensis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Paracoptochirus,kozanensis,,,,"Pittino, 2001",Data Deficient,,3.1,Unknown,Global & Mediterranean
48032062,47945322,Paracoptochirus vignai,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Paracoptochirus,vignai,,,,"Carpaneto &amp; Piattella, 1990",Data Deficient,,3.1,Unknown,Global & Mediterranean
50137978,19199706,Megachile cressa,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Megachile,cressa,,,,"(Tkalců, 1988)",Data Deficient,,3.1,Unknown,"Global, Europe & Mediterranean"
50142482,19198908,Megachile semicircularis,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Megachile,semicircularis,,,,"van der Zanden, 1996",Data Deficient,,3.1,Unknown,"Global, Europe & Mediterranean"
53713070,173274,Kretania psylorita,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,LYCAENIDAE,Kretania,psylorita,,,,"(Freyer, 1845)",Least Concern,,3.1,Stable,"Global, Europe & Mediterranean"
53714375,173287,Hipparchia cretica,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NYMPHALIDAE,Hipparchia,cretica,,,,"(Rebel, 1916)",Least Concern,,3.1,Stable,"Global, Europe & Mediterranean"
64557835,173214,Coenonympha thyrsis,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NYMPHALIDAE,Coenonympha,thyrsis,,,,"(Freyer, 1845)",Least Concern,,3.1,Stable,"Global, Europe & Mediterranean"
64563270,173305,Hipparchia christenseni,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NYMPHALIDAE,Hipparchia,christenseni,,,,"Kudrna, 1977",Endangered,B2ab(v),3.1,Decreasing,"Global, Europe & Mediterranean"
64809060,173252,Maniola chia,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NYMPHALIDAE,Maniola,chia,,,,"Thomson, 1987",Near Threatened,,3.1,Decreasing,"Global, Europe & Mediterranean"
64821523,173225,Pseudochazara graeca,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NYMPHALIDAE,Pseudochazara,graeca,,,,"(Staudinger, 1870)",Least Concern,,3.1,Stable,"Global, Europe & Mediterranean"
64823983,173219,Zerynthia cretica,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,PAPILIONIDAE,Zerynthia,cretica,,,,"(Rebel, 1904)",Least Concern,,3.1,Stable,"Global, Europe & Mediterranean"
69264218,19198691,Megachile rhodosiaca,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,MEGACHILIDAE,Megachile,rhodosiaca,,,,"Rebmann, 1972",Data Deficient,,3.1,Unknown,"Global, Europe & Mediterranean"
69638033,69637992,Chorthippus ferdinandi,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Chorthippus,ferdinandi,,,,"Vedenina &amp; Helversen, 2009",Endangered,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",3.1,Decreasing,"Global, Europe & Mediterranean"
69668556,69668544,Ovaliptila kinzelbachi,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,GRYLLIDAE,Ovaliptila,kinzelbachi,,,,"(Harz, 1971)",Vulnerable,D2,3.1,Unknown,"Global, Europe & Mediterranean"
69668595,69668585,Ovaliptila krueperi,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,GRYLLIDAE,Ovaliptila,krueperi,,,,"(Pantel, 1890)",Near Threatened,,3.1,Unknown,"Global, Europe & Mediterranean"
69668760,69668679,Ovaliptila lindbergi,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,GRYLLIDAE,Ovaliptila,lindbergi,,,,"(Chopard, 1957)",Least Concern,,3.1,Unknown,"Global, Europe & Mediterranean"
69668802,69668788,Ovaliptila nana,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,GRYLLIDAE,Ovaliptila,nana,,,,"(Baccetti, 1992)",Vulnerable,D2,3.1,Unknown,"Global, Europe & Mediterranean"
69668850,69668847,Ovaliptila newmanae,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,GRYLLIDAE,Ovaliptila,newmanae,,,,"(Harz, 1969)",Least Concern,,3.1,Unknown,Global & Europe
69669501,69669391,Ovaliptila wettsteini,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,GRYLLIDAE,Ovaliptila,wettsteini,,,,"(Werner, 1934)",Near Threatened,,3.1,Unknown,"Global, Europe & Mediterranean"
69680725,44698100,Rhacocleis silvestrii,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Rhacocleis,silvestrii,,,,"Ramme, 1939",Near Threatened,,3.1,Decreasing,"Global, Europe & Mediterranean"
69681546,69681526,Gryllomorpha cretensis,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,GRYLLIDAE,Gryllomorpha,cretensis,,,,"Ramme, 1927",Data Deficient,,3.1,Unknown,"Global, Europe & Mediterranean"
70432562,14870997,Chorthippus lacustris,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Chorthippus,lacustris,,,,"La Greca &amp; Messina, 1975",Critically Endangered,"B2ab(i,ii,iii,iv,v)",3.1,Decreasing,"Global, Europe & Mediterranean"
70564378,16084579,Chorthippus biroi,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Chorthippus,biroi,,,,"(Kuthy, 1907)",Least Concern,,3.1,Stable,"Global, Europe & Mediterranean"
70564582,16084612,Chorthippus moreanus,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Chorthippus,moreanus,,,,"Willemse, Helversen &amp; Odé, 2009",Least Concern,,3.1,Unknown,"Global, Europe & Mediterranean"
70564761,16084456,Chorthippus parnon,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Chorthippus,parnon,,,,"Willemse, Helversen &amp; Odé, 2009",Near Threatened,,3.1,Decreasing,"Global, Europe & Mediterranean"
70565847,16084479,Chorthippus pulloides,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Chorthippus,pulloides,,,,"(Ramme, 1926)",Near Threatened,,3.1,Decreasing,"Global, Europe & Mediterranean"
