sci_name	gbifid.ids	gbifid.class	gbifid.match	gbifid.multiple_matches	gbifid.pattern_match	gbifid.uri
Asthenocnemis stephanodera	1423910	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423910
Coeliccia axinocercus	1423674	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423674
Coeliccia boettcheri	1423721	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423721
Coeliccia dinoceras	1423733	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423733
Coeliccia palawana	1423723	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423723
Coeliccia werneri	1423719	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423719
Igneocnemis calceata	11030552	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/11030552
Igneocnemis flammea	10068467	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10068467
Igneocnemis fuligifrons	10954671	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10954671
Igneocnemis haematopus	10829220	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10829220
Igneocnemis ignea	10720672	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10720672
Igneocnemis incisa	11046077	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/11046077
Igneocnemis kaiseri	11064542	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/11064542
Igneocnemis melanops	10962973	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10962973
Igneocnemis nigra	10983115	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10983115
Igneocnemis odobeni	10976760	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10976760
Igneocnemis pistor	11087515	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/11087515
Igneocnemis plebeja	10968959	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10968959
Igneocnemis polilloensis	10991991	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10991991
Igneocnemis rubripes	10670501	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10670501
Igneocnemis siniae	11055713	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/11055713
Igneocnemis tendipes	10370530	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10370530
Prodasineura integra	1421589	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1421589
Prodasineura palawana	1421595	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1421595
Prodasineura poncei	10834746	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/10834746
Risiocnemis appendiculata	1423808	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423808
Risiocnemis arator	1423778	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423778
Risiocnemis confusa	1423790	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423790
Risiocnemis corbeti	6243396	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/6243396
Risiocnemis elegans	1423794	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423794
Risiocnemis erythrura	1423783	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423783
Risiocnemis gracilis	1423779	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423779
Risiocnemis hamalaineni	6243397	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/6243397
Risiocnemis kiautai	1423814	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423814
Risiocnemis laguna	1423805	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423805
Risiocnemis moroensis	1423802	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423802
Risiocnemis praeusta	1423800	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423800
Risiocnemis rolandmuelleri	1423803	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1423803
